3.24 -0.338483 1.00138
3.25 -0.328327 1.02964
3.26 -0.317894 1.05674
3.27 -0.307196 1.08265
3.28 -0.296245 1.10735
3.29 -0.285053 1.13082
3.3 -0.273633 1.15304
3.31 -0.261996 1.17401
3.32 -0.250157 1.1937
3.33 -0.238127 1.2121
3.34 -0.225919 1.2292
3.35 -0.213547 1.24499
3.36 -0.201024 1.25945
3.37 -0.188362 1.27259
3.38 -0.175576 1.2844
3.39 -0.162679 1.29486
3.4 -0.149684 1.30398
3.41 -0.136604 1.31176
3.42 -0.123453 1.31819
3.43 -0.110244 1.32327
3.44 -0.0969919 1.327
3.45 -0.0837088 1.3294
3.46 -0.0704084 1.33045
3.47 -0.0571042 1.33018
3.48 -0.0438093 1.32858
3.49 -0.030537 1.32566
3.5 -0.0173005 1.32143
3.51 -0.00411277 1.31591
3.52 0.00901332 1.3091
3.53 0.0220649 1.30102
3.54 0.0350295 1.29168
3.55 0.0478944 1.2811
3.56 0.0606474 1.2693
3.57 0.0732763 1.25628
3.58 0.0857691 1.24208
3.59 0.0981141 1.22672
3.6 0.1103 1.2102
3.61 0.122314 1.19256
3.62 0.134147 1.17382
3.63 0.145787 1.154
3.64 0.157224 1.13313
3.65 0.168446 1.11123
3.66 0.179445 1.08834
3.67 0.19021 1.06447
3.68 0.200731 1.03966
3.69 0.211 1.01394
3.7 0.221007 0.987333
3.71 0.230744 0.959875
3.72 0.240202 0.931596
3.73 0.249373 0.902529
3.74 0.25825 0.872707
3.75 0.266825 0.842163
3.76 0.275091 0.810932
3.77 0.283041 0.779047
3.78 0.29067 0.746545
3.79 0.29797 0.71346
3.8 0.304937 0.679828
3.81 0.311565 0.645686
3.82 0.317849 0.611071
3.83 0.323785 0.576018
3.84 0.329368 0.540566
3.85 0.334595 0.504751
3.86 0.339462 0.468612
3.87 0.343967 0.432185
3.88 0.348105 0.395509
3.89 0.351876 0.358622
3.9 0.355277 0.32156
3.91 0.358307 0.284363
3.92 0.360964 0.247068
3.93 0.363248 0.209712
3.94 0.365158 0.172334
3.95 0.366695 0.13497
3.96 0.367858 0.0976575
3.97 0.368648 0.0604339
3.98 0.369067 0.0233357
3.99 0.369115 -0.0136007
4 0.368796 -0.0503394
4.01 0.368109 -0.0868446
4.02 0.36706 -0.123081
4.03 0.365649 -0.159014
4.04 0.36388 -0.194609
4.05 0.361758 -0.229833
4.06 0.359285 -0.264652
4.07 0.356466 -0.299033
4.08 0.353306 -0.332944
4.09 0.349809 -0.366354
4.1 0.345981 -0.399232
4.11 0.341826 -0.431548
4.12 0.337352 -0.463272
4.13 0.332563 -0.494376
4.14 0.327466 -0.524832
4.15 0.322069 -0.554612
4.16 0.316376 -0.583691
4.17 0.310397 -0.612042
4.18 0.304138 -0.639642
4.19 0.297607 -0.666466
4.2 0.290811 -0.692491
4.21 0.28376 -0.717696
4.22 0.27646 -0.742059
4.23 0.268921 -0.765561
4.24 0.261152 -0.788182
4.25 0.253161 -0.809903
4.26 0.244957 -0.830709
4.27 0.23655 -0.850582
4.28 0.227949 -0.869508
4.29 0.219163 -0.887473
4.3 0.210202 -0.904462
4.31 0.201077 -0.920465
4.32 0.191796 -0.935469
4.33 0.182371 -0.949466
4.34 0.17281 -0.962446
4.35 0.163125 -0.974401
4.36 0.153326 -0.985325
4.37 0.143422 -0.995211
4.38 0.133425 -1.00406
4.39 0.123345 -1.01185
4.4 0.113192 -1.01861
4.41 0.102976 -1.02431
4.42 0.0927089 -1.02896
4.43 0.0824004 -1.03256
4.44 0.0720612 -1.03511
4.45 0.0617016 -1.03662
4.46 0.0513322 -1.03709
4.47 0.0409633 -1.03652
4.48 0.0306053 -1.03492
4.49 0.0202684 -1.03229
4.5 0.00996281 -1.02865
4.51 -0.000301294 -1.024
4.52 -0.0105139 -1.01835
4.53 -0.0206651 -1.01172
4.54 -0.030745 -1.00411
4.55 -0.040744 -0.995534
4.56 -0.0506525 -0.986009
4.57 -0.0604611 -0.975548
4.58 -0.0701604 -0.964166
4.59 -0.0797414 -0.95188
4.6 -0.0891951 -0.938705
4.61 -0.0985126 -0.92466
4.62 -0.107685 -0.909762
4.63 -0.116705 -0.894031
4.64 -0.125563 -0.877487
4.65 -0.134252 -0.860151
4.66 -0.142764 -0.842043
4.67 -0.151091 -0.823185
4.68 -0.159225 -0.8036
4.69 -0.16716 -0.783312
4.7 -0.174889 -0.762343
4.71 -0.182405 -0.740719
4.72 -0.189701 -0.718463
4.73 -0.196772 -0.695602
4.74 -0.203611 -0.672162
4.75 -0.210214 -0.648167
4.76 -0.216573 -0.623646
4.77 -0.222685 -0.598625
4.78 -0.228544 -0.573132
4.79 -0.234146 -0.547195
4.8 -0.239486 -0.520841
4.81 -0.244561 -0.494098
4.82 -0.249367 -0.466997
4.83 -0.2539 -0.439565
4.84 -0.258158 -0.411831
4.85 -0.262136 -0.383825
4.86 -0.265833 -0.355575
4.87 -0.269247 -0.327112
4.88 -0.272375 -0.298465
4.89 -0.275216 -0.269662
4.9 -0.277768 -0.240735
4.91 -0.28003 -0.211711
4.92 -0.282002 -0.182621
4.93 -0.283682 -0.153494
4.94 -0.285072 -0.12436
4.95 -0.28617 -0.0952462
4.96 -0.286977 -0.0661829
4.97 -0.287493 -0.0371986
4.98 -0.287721 -0.00832169
4.99 -0.28766 0.0204195
5 -0.287313 0.0489969
5.01 -0.286681 0.0773829
5.02 -0.285766 0.10555
5.03 -0.284571 0.133472
5.04 -0.283098 0.161121
5.05 -0.281349 0.188471
5.06 -0.279329 0.215497
5.07 -0.277041 0.242174
5.08 -0.274487 0.268476
5.09 -0.271672 0.294378
5.1 -0.268601 0.319859
5.11 -0.265277 0.344892
5.12 -0.261705 0.369457
5.13 -0.257889 0.393531
5.14 -0.253836 0.417093
5.15 -0.249549 0.440121
5.16 -0.245035 0.462595
5.17 -0.240299 0.484495
5.18 -0.235347 0.505804
5.19 -0.230185 0.526501
5.2 -0.224819 0.54657
5.21 -0.219256 0.565994
5.22 -0.213502 0.584756
5.23 -0.207563 0.602841
5.24 -0.201447 0.620235
5.25 -0.195161 0.636924
5.26 -0.188711 0.652894
5.27 -0.182105 0.668133
5.28 -0.175351 0.68263
5.29 -0.168455 0.696373
5.3 -0.161426 0.709354
5.31 -0.154271 0.721562
5.32 -0.146997 0.73299
5.33 -0.139613 0.743629
5.34 -0.132127 0.753474
5.35 -0.124547 0.762518
5.36 -0.11688 0.770757
5.37 -0.109134 0.778185
5.38 -0.101319 0.784801
5.39 -0.0934409 0.7906
5.4 -0.0855093 0.795583
5.41 -0.077532 0.799746
5.42 -0.0695171 0.803092
5.43 -0.0614729 0.805619
5.44 -0.0534075 0.807331
5.45 -0.045329 0.808228
5.46 -0.0372456 0.808315
5.47 -0.0291654 0.807596
5.48 -0.0210964 0.806074
5.49 -0.0130466 0.803756
5.5 -0.00502389 0.800648
5.51 0.00296379 0.796757
5.52 0.0109087 0.792091
5.53 0.018803 0.786657
5.54 0.0266393 0.780467
5.55 0.0344099 0.773528
5.56 0.0421074 0.765853
5.57 0.0497245 0.757452
5.58 0.0572541 0.748338
5.59 0.0646889 0.738522
5.6 0.0720222 0.728019
5.61 0.0792471 0.716842
5.62 0.0863569 0.705006
5.63 0.0933451 0.692526
5.64 0.100205 0.679417
5.65 0.106931 0.665696
5.66 0.113517 0.65138
5.67 0.119957 0.636485
5.68 0.126245 0.621029
5.69 0.132376 0.605032
5.7 0.138344 0.58851
5.71 0.144144 0.571484
5.72 0.149772 0.553973
5.73 0.155222 0.535997
5.74 0.16049 0.517576
5.75 0.165572 0.49873
5.76 0.170464 0.479481
5.77 0.175161 0.459849
5.78 0.17966 0.439857
5.79 0.183957 0.419526
5.8 0.188049 0.398878
5.81 0.191933 0.377935
5.82 0.195607 0.35672
5.83 0.199067 0.335254
5.84 0.202311 0.313561
5.85 0.205337 0.291664
5.86 0.208144 0.269585
5.87 0.210729 0.247347
5.88 0.21309 0.224973
5.89 0.215228 0.202487
5.9 0.21714 0.179911
5.91 0.218826 0.157267
5.92 0.220285 0.13458
5.93 0.221517 0.111872
5.94 0.222522 0.0891658
5.95 0.223301 0.0664836
5.96 0.223852 0.0438483
5.97 0.224178 0.0212821
5.98 0.224278 -0.00119271
5.99 0.224154 -0.0235543
6 0.223807 -0.0457808
6.01 0.223239 -0.0678508
6.02 0.222451 -0.0897431
6.03 0.221445 -0.111437
6.04 0.220223 -0.132911
6.05 0.218788 -0.154145
6.06 0.217141 -0.17512
6.07 0.215286 -0.195816
6.08 0.213226 -0.216213
6.09 0.210963 -0.236293
6.1 0.208501 -0.256037
6.11 0.205843 -0.275427
6.12 0.202994 -0.294445
6.13 0.199956 -0.313075
6.14 0.196734 -0.3313
6.15 0.193331 -0.349104
6.16 0.189753 -0.36647
6.17 0.186003 -0.383385
6.18 0.182087 -0.399832
6.19 0.178008 -0.415799
6.2 0.173772 -0.431271
6.21 0.169384 -0.446237
6.22 0.164849 -0.460682
6.23 0.160173 -0.474596
6.24 0.155359 -0.487967
6.25 0.150415 -0.500785
6.26 0.145345 -0.513039
6.27 0.140156 -0.52472
6.28 0.134853 -0.53582
6.29 0.129442 -0.54633
6.3 0.123928 -0.556243
6.31 0.118319 -0.565551
6.32 0.112619 -0.574249
6.33 0.106836 -0.582331
6.34 0.100975 -0.589791
6.35 0.0950423 -0.596626
6.36 0.0890445 -0.602832
6.37 0.0829877 -0.608406
6.38 0.0768785 -0.613345
6.39 0.070723 -0.617648
6.4 0.0645276 -0.621313
6.41 0.0582988 -0.62434
6.42 0.0520429 -0.62673
6.43 0.0457664 -0.628482
6.44 0.0394754 -0.629599
6.45 0.0331765 -0.630082
6.46 0.0268759 -0.629934
6.47 0.0205799 -0.629159
6.48 0.0142948 -0.62776
6.49 0.00802678 -0.625742
6.5 0.00178201 -0.62311
6.51 -0.00443339 -0.619869
6.52 -0.0106134 -0.616026
6.53 -0.0167519 -0.611588
6.54 -0.0228432 -0.606563
6.55 -0.0288813 -0.600957
6.56 -0.0348604 -0.59478
6.57 -0.040775 -0.58804
6.58 -0.0466194 -0.580748
6.59 -0.0523881 -0.572912
6.6 -0.0580758 -0.564544
6.61 -0.0636773 -0.555655
6.62 -0.0691872 -0.546256
6.63 -0.0746007 -0.536359
6.64 -0.0799128 -0.525977
6.65 -0.0851187 -0.515121
6.66 -0.0902137 -0.503806
6.67 -0.0951933 -0.492045
6.68 -0.100053 -0.479852
6.69 -0.104789 -0.467241
6.7 -0.109397 -0.454227
6.71 -0.113872 -0.440824
6.72 -0.118212 -0.427049
6.73 -0.122412 -0.412917
6.74 -0.126469 -0.398443
6.75 -0.13038 -0.383644
6.76 -0.134141 -0.368536
6.77 -0.13775 -0.353136
6.78 -0.141203 -0.33746
6.79 -0.144498 -0.321526
6.8 -0.147632 -0.305351
